active cool,no se ve,COMPU  DE MARCA,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,465.8 GB,8.0 GB
HP ProBook 440 G7,5CD0211HFV,LAPTOP,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,480gb SSD,8.0gb
Vostro 270s,GMBHXV1,COMPU  DE MARCA,Intel(R) Core(TM) i3-3220 CPU @ 3.30GHz,SSD465.8 GB,8.0 GB
Active cool,940233162043,COMPU  ARMADA,Intel(R) Core(TM) i5-3340 CPU @ 3.10GHz,480 gb,2.0 GB
active cool,940233064145,COMPU  ARMADA,Intel(R) Core(TM) i5-3330 CPU @ 3.00GHz,465.8 GB,8.0 GB
HP 280 G2 SFF,4CE6420ZHD,COMPU  DE MARCA,Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,930.9 GB,8.0 GB
HP ProOne 400 G2,MXL6141ZRZ,ALL IN ONE,Intel(R) Core(TM) i3-6300T CPU @ 3.30GHz,930.9 GB,8.0 GB
ProOne 400 G2,MXL6141ZSL,ALL IN ONE,Intel(R) Core(TM) i3-6300T CPU @ 3.30GHz,930.9 GB,8.0 GB
active cool,940233074164,COMPU  ARMADA,Intel(R) Core(TM) i5-3330 CPU @ 3.00GHz,SSD 1TB,8.0 GB
active cool,940233064564,COMPU  ARMADA,Intel(R) Core(TM) i5-3330 CPU @ 3.00GHz,465.8 GB,8.0 GB
HP Compaq Elite 8300,MXL31417X7,COMPU  DE MARCA,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz,465.8 GB,4.0 GB
active cool,940233096938,COMPU  ARMADA,Intel(R) Core(TM) i5-3330 CPU @ 3.00GHz,930.9 GB,8.0 GB
active cool,940233063968,COMPU  ARMADA,Intel(R) Core(TM) i5-3330 CPU @ 3.00GHz,465.8 GB,8.0 GB
HP Compaq Elite 8300 CMT,MXL31417X9,COMPU  DE MARCA,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz,480gb ssd,8.0gb
HP Compaq Elite 8300,MXL31417XN,COMPU  DE MARCA,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz,465.8 GB,4.0 GB
